id,user_id,mensaje
1,5492610000001,hola
2,5492610000002,me llego el producto equivocado
3,5492610000003,hacen envios a todo el pais?
4,5492610000004,buenas! queria saber cuando llega mi compra
5,5492610000005,cuanto tarda el envio? porque el mio ya lleva 8 dias
6,5492610000006,puedo pagar en cuotas?
7,5492610000007,hace 10 dias que espero y no llega nada
8,5492610000008,donde esta mi pedido ORD-2024-0087?
9,5492610000009,gracias por todo
10,5492610000010,cual es la politica de cambios?
11,5492610000011,me cobraron dos veces la misma compra
12,5492610000012,me pueden dar el numero de seguimiento?
13,5492610000013,tienen garantia los productos?
14,5492610000014,buenas!
15,5492610000015,el producto vino fallado
16,5492610000016,mi orden ORD-1122 figura despachada pero no llego nada
17,5492610000017,hacen factura A?
18,5492610000018,quiero la devolucion de mi plata
19,5492610000019,"che, el pedido que hice el martes ya salio?"
20,5492610000020,cuanto sale el envio a cordoba?
21,5492610000021,"hola, compre ayer y queria saber si me pueden hacer factura A"
22,5492610000022,"excelente atencion, gracias!"
23,5492610000023,nadie responde mi reclamo anterior
24,5492610000024,quiero saber el estado de mi compra por favor
25,5492610000025,aceptan mercado pago?
26,5492610000026,el monitor llego con la pantalla rota
27,5492610000027,buen dia
28,5492610000028,"tengo el pedido 4471, en que anda?"
29,5492610000029,cuanto tarda el envio normalmente?
30,5492610000030,"pague y me dicen que no hay stock, esto es una verguenza"
31,5492610000031,cuando me llega lo que compre ayer?
32,5492610000032,si no estoy en casa cuando llega el pedido que pasa?
33,5492610000033,"hola, una consulta"
34,5492610000034,pedi talle L y me mandaron S
35,5492610000035,"hola, hice una compra a nombre de Sordi, esta en camino?"
36,5492610000036,hacen envios internacionales?
37,5492610000037,es la tercera vez que escribo y nadie me contesta
38,5492610000038,mi pedido no llega y ya pasaron los 5 dias que decia la web
39,5492610000039,necesito saber si ya despacharon mi paquete
40,5492610000040,es seguro pagar con tarjeta en la web?
41,5492610000041,quiero hablar con un supervisor
42,5492610000042,hola? hay alguien?
43,5492610000043,seguimiento pedido ORD-9931
44,5492610000044,tienen local fisico para retirar?
45,5492610000045,"me estafaron, no llego nada y ya pague"
46,5492610000046,"compre el lunes y todavia nada, esta todo bien?"
47,5492610000047,cuantos dias tengo para devolver algo?
48,5492610000048,ok gracias
49,5492610000049,el paquete llego abierto y faltaban cosas
50,5492610000050,me confirman que recibieron mi orden?
51,5492610000051,aceptan transferencia bancaria?
52,5492610000052,"compre hace un mes y todavia no recibi nada, quiero mi reembolso"
53,5492610000053,"buenas tardes, consulta por el pedido 8823"
54,5492610000054,los precios incluyen iva?
55,5492610000055,"buenisimo, muchas gracias"
56,5492610000056,la garantia no me la quieren hacer valer
57,5492610000057,donde anda mi paquete
58,5492610000058,hasta cuantas cuotas sin interes hay?
59,5492610000059,me mandaron un producto usado
60,5492610000060,quisiera saber si mi pedido ya salio de deposito
61,5492610000061,trabajan con oca o andreani?
62,5492610000062,hola como andan
63,5492610000063,cancele el pedido y me siguen cobrando
64,5492610000064,el envio de la notebook en que estado esta?
65,5492610000065,puedo cambiar la direccion de envio despues de comprar?
66,5492610000066,"pesimo servicio, nunca mas compro aca"
67,5492610000067,hola! me pueden decir si mi pedido esta demorado?
68,5492610000068,que metodos de pago aceptan?
69,5492610000069,"queria cambiar un producto, cual es el procedimiento? me llego fallado"
70,5492610000070,el teclado dejo de andar a los 3 dias
71,5492610000071,pedido ORD-5567 - estado?
72,5492610000072,la garantia la cubre la marca o ustedes?
73,5492610000073,che
74,5492610000074,me cobraron el envio que decia que era gratis
75,5492610000075,sigo esperando el mail con el tracking
76,5492610000076,hacen descuento por pago en efectivo?
77,5492610000077,hace una semana que pedi la devolucion y no me contestan
78,5492610000078,"mi orden aparece como confirmada, cuando la mandan?"
79,5492610000079,cuanto cuesta el envio si compro mas de un producto?
80,5492610000080,buenas tardes
81,5492610000081,el producto no es como se ve en la foto
82,5492610000082,hace cuanto salio mi envio?
83,5492610000083,puedo retirar por sucursal?
84,5492610000084,"me llego incompleto el pedido, falta un item"
85,5492610000085,"buenas, numero de orden 3345, queria el estado"
86,5492610000086,si el producto no me gusta lo puedo devolver?
87,5492610000087,"gracias, muy amables"
88,5492610000088,quiero hacer un reclamo formal
89,5492610000089,"me dijeron que llegaba hoy, se sabe algo?"
90,5492610000090,tienen atencion telefonica?
91,5492610000091,el repartidor nunca vino y figura como entregado
92,5492610000092,"che consulta, el pedido de la silla gamer ya viene?"
93,5492610000093,cual es el horario de atencion?
94,5492610000094,"hola! gracias por la respuesta anterior, igual sigo sin saber donde esta mi pedido"
95,5492610000095,"me dieron mal la informacion, quiero una solucion ya"
96,5492610000096,quiero rastrear mi compra
97,5492610000097,emiten factura B?
98,5492610000098,"dale, gracias"
99,5492610000099,voy a hacer la denuncia en defensa del consumidor
100,5492610000100,"hola, tengo dos pedidos abiertos, me pasan el estado de ambos?"
101,5492610000101,los envios son con seguro?
102,5492610000102,me llego todo golpeado el paquete
103,5492610000103,"compre con el mail lucia.perez@example.com, que paso con mi orden?"
104,5492610000104,cuanto demora el reintegro de una devolucion?
105,5492610000105,"hola, queria hacer una consulta"
106,5492610000106,pague en 12 cuotas y me cobraron en 1
107,5492610000107,"buen dia, el pedido ORD-7788 sigue en preparacion?"
108,5492610000108,puedo comprar sin registrarme?
109,5492610000109,tienen stock del PROD-013? porque lo pedi y me dijeron que no habia
110,5492610000110,el producto vino sin los accesorios que decia
111,5492610000111,alguna novedad de mi envio?
112,5492610000112,hacen envio gratis a partir de cierto monto?
113,5492610000113,"perfecto, saludos"
114,5492610000114,"atencion pesima, llevo 40 minutos esperando respuesta"
115,5492610000115,mi pedido dice en transito hace 5 dias
116,5492610000116,venden productos usados o todos son nuevos?
117,5492610000117,me quieren cobrar el envio de la devolucion cuando el error fue de ustedes
118,5492610000118,queria confirmar si ya salio el despacho
119,5492610000119,si pago con transferencia cuando despachan?
120,5492610000120,hola necesito ayuda
121,5492610000121,me cancelaron el pedido sin avisarme
122,5492610000122,hola necesito el estado del pedido urgente
123,5492610000123,tienen reembolso si el producto llega roto?
124,5492610000124,"buenas, se puede cancelar un pedido ya pagado?"
125,5492610000125,ORD-2211
126,5492610000126,puedo pedir que lo dejen con el portero?
127,5492610000127,la factura vino con datos mal cargados
128,5492610000128,me pueden ayudar?
129,5492610000129,"me llego un mail que decia confirmado, eso significa que ya lo mandaron?"
130,5492610000130,aceptan tarjeta de debito?
131,5492610000131,exijo que me devuelvan la plata hoy mismo
132,5492610000132,"buenas, cuando estiman que llega el pedido a mendoza?"
133,5492610000133,hay stock del monitor samsung 24?
134,5492610000134,buen finde!
135,5492610000135,no entiendo nada de como funciona esto
136,5492610000136,"hola! el pedido que cancele ayer, se proceso la cancelacion?"
