"id","user_id","mensaje","enviado_utc","http","latencia_ms","error"
"1","5492610000001","hola","2026-08-12 23:45:26.804","200","123",
"2","5492610000002","me llego el producto equivocado","2026-08-12 23:45:29.967","200","42",
"3","5492610000003","hacen envios a todo el pais?","2026-08-12 23:45:33.022","200","36",
"4","5492610000004","buenas! queria saber cuando llega mi compra","2026-08-12 23:45:36.065","200","34",
"5","5492610000005","cuanto tarda el envio? porque el mio ya lleva 8 dias","2026-08-12 23:45:39.101","200","35",
"6","5492610000006","puedo pagar en cuotas?","2026-08-12 23:45:42.140","200","32",
"7","5492610000007","hace 10 dias que espero y no llega nada","2026-08-12 23:45:45.180","200","29",
"8","5492610000008","donde esta mi pedido ORD-2024-0087?","2026-08-12 23:45:48.223","200","32",
"9","5492610000009","gracias por todo","2026-08-12 23:45:51.263","200","30",
"10","5492610000010","cual es la politica de cambios?","2026-08-12 23:45:54.313","200","31",
"11","5492610000011","me cobraron dos veces la misma compra","2026-08-12 23:45:57.358","200","30",
"12","5492610000012","me pueden dar el numero de seguimiento?","2026-08-12 23:46:00.390","200","34",
"13","5492610000013","tienen garantia los productos?","2026-08-12 23:46:03.438","200","29",
"14","5492610000014","buenas!","2026-08-12 23:46:06.471","200","34",
"15","5492610000015","el producto vino fallado","2026-08-12 23:46:09.506","200","30",
"16","5492610000016","mi orden ORD-1122 figura despachada pero no llego nada","2026-08-12 23:46:12.551","200","40",
"17","5492610000017","hacen factura A?","2026-08-12 23:46:15.604","200","36",
"18","5492610000018","quiero la devolucion de mi plata","2026-08-12 23:46:18.654","200","32",
"19","5492610000019","che, el pedido que hice el martes ya salio?","2026-08-12 23:46:21.697","200","30",
"20","5492610000020","cuanto sale el envio a cordoba?","2026-08-12 23:46:24.739","200","31",
"21","5492610000021","hola, compre ayer y queria saber si me pueden hacer factura A","2026-08-12 23:46:27.780","200","30",
"22","5492610000022","excelente atencion, gracias!","2026-08-12 23:46:30.814","200","28",
"23","5492610000023","nadie responde mi reclamo anterior","2026-08-12 23:46:33.853","200","30",
"24","5492610000024","quiero saber el estado de mi compra por favor","2026-08-12 23:46:36.885","200","29",
"25","5492610000025","aceptan mercado pago?","2026-08-12 23:46:39.922","200","29",
"26","5492610000026","el monitor llego con la pantalla rota","2026-08-12 23:46:42.955","200","32",
"27","5492610000027","buen dia","2026-08-12 23:46:45.992","200","35",
"28","5492610000028","tengo el pedido 4471, en que anda?","2026-08-12 23:46:49.034","200","31",
"29","5492610000029","cuanto tarda el envio normalmente?","2026-08-12 23:46:52.071","200","31",
"30","5492610000030","pague y me dicen que no hay stock, esto es una verguenza","2026-08-12 23:46:55.106","200","33",
"31","5492610000031","cuando me llega lo que compre ayer?","2026-08-12 23:46:58.151","200","31",
"32","5492610000032","si no estoy en casa cuando llega el pedido que pasa?","2026-08-12 23:47:01.189","200","29",
"33","5492610000033","hola, una consulta","2026-08-12 23:47:04.233","200","28",
"34","5492610000034","pedi talle L y me mandaron S","2026-08-12 23:47:07.271","200","34",
"35","5492610000035","hola, hice una compra a nombre de Sordi, esta en camino?","2026-08-12 23:47:10.308","200","28",
"36","5492610000036","hacen envios internacionales?","2026-08-12 23:47:13.339","200","30",
"37","5492610000037","es la tercera vez que escribo y nadie me contesta","2026-08-12 23:47:16.385","200","40",
"38","5492610000038","mi pedido no llega y ya pasaron los 5 dias que decia la web","2026-08-12 23:47:19.437","200","28",
"39","5492610000039","necesito saber si ya despacharon mi paquete","2026-08-12 23:47:22.468","200","36",
"40","5492610000040","es seguro pagar con tarjeta en la web?","2026-08-12 23:47:25.513","200","29",
"41","5492610000041","quiero hablar con un supervisor","2026-08-12 23:47:28.546","200","29",
"42","5492610000042","hola? hay alguien?","2026-08-12 23:47:31.579","200","35",
"43","5492610000043","seguimiento pedido ORD-9931","2026-08-12 23:47:34.618","200","31",
"44","5492610000044","tienen local fisico para retirar?","2026-08-12 23:47:37.664","200","32",
"45","5492610000045","me estafaron, no llego nada y ya pague","2026-08-12 23:47:40.709","200","29",
"46","5492610000046","compre el lunes y todavia nada, esta todo bien?","2026-08-12 23:47:43.740","200","32",
"47","5492610000047","cuantos dias tengo para devolver algo?","2026-08-12 23:47:46.780","200","31",
"48","5492610000048","ok gracias","2026-08-12 23:47:49.815","200","36",
"49","5492610000049","el paquete llego abierto y faltaban cosas","2026-08-12 23:47:52.866","200","30",
"50","5492610000050","me confirman que recibieron mi orden?","2026-08-12 23:47:55.899","200","29",
"51","5492610000051","aceptan transferencia bancaria?","2026-08-12 23:47:58.937","200","31",
"52","5492610000052","compre hace un mes y todavia no recibi nada, quiero mi reembolso","2026-08-12 23:48:01.971","200","34",
"53","5492610000053","buenas tardes, consulta por el pedido 8823","2026-08-12 23:48:05.019","200","29",
"54","5492610000054","los precios incluyen iva?","2026-08-12 23:48:08.051","200","35",
"55","5492610000055","buenisimo, muchas gracias","2026-08-12 23:48:11.097","200","30",
"56","5492610000056","la garantia no me la quieren hacer valer","2026-08-12 23:48:14.131","200","29",
"57","5492610000057","donde anda mi paquete","2026-08-12 23:48:17.175","200","39",
"58","5492610000058","hasta cuantas cuotas sin interes hay?","2026-08-12 23:48:20.230","200","33",
"59","5492610000059","me mandaron un producto usado","2026-08-12 23:48:23.272","200","33",
"60","5492610000060","quisiera saber si mi pedido ya salio de deposito","2026-08-12 23:48:26.318","200","29",
"61","5492610000061","trabajan con oca o andreani?","2026-08-12 23:48:29.362","200","35",
"62","5492610000062","hola como andan","2026-08-12 23:48:32.406","200","29",
"63","5492610000063","cancele el pedido y me siguen cobrando","2026-08-12 23:48:35.443","200","34",
"64","5492610000064","el envio de la notebook en que estado esta?","2026-08-12 23:48:38.479","200","44",
"65","5492610000065","puedo cambiar la direccion de envio despues de comprar?","2026-08-12 23:48:41.533","200","34",
"66","5492610000066","pesimo servicio, nunca mas compro aca","2026-08-12 23:48:44.573","200","31",
"67","5492610000067","hola! me pueden decir si mi pedido esta demorado?","2026-08-12 23:48:47.618","200","31",
"68","5492610000068","que metodos de pago aceptan?","2026-08-12 23:48:50.659","200","36",
"69","5492610000069","queria cambiar un producto, cual es el procedimiento? me llego fallado","2026-08-12 23:48:53.700","200","35",
"70","5492610000070","el teclado dejo de andar a los 3 dias","2026-08-12 23:48:56.736","200","29",
"71","5492610000071","pedido ORD-5567 - estado?","2026-08-12 23:48:59.774","200","32",
"72","5492610000072","la garantia la cubre la marca o ustedes?","2026-08-12 23:49:02.813","200","34",
"73","5492610000073","che","2026-08-12 23:49:05.859","200","33",
"74","5492610000074","me cobraron el envio que decia que era gratis","2026-08-12 23:49:08.909","200","32",
"75","5492610000075","sigo esperando el mail con el tracking","2026-08-12 23:49:11.951","200","43",
"76","5492610000076","hacen descuento por pago en efectivo?","2026-08-12 23:49:15.005","200","31",
"77","5492610000077","hace una semana que pedi la devolucion y no me contestan","2026-08-12 23:49:18.044","200","44",
"78","5492610000078","mi orden aparece como confirmada, cuando la mandan?","2026-08-12 23:49:21.098","200","29",
"79","5492610000079","cuanto cuesta el envio si compro mas de un producto?","2026-08-12 23:49:24.134","200","30",
"80","5492610000080","buenas tardes","2026-08-12 23:49:27.176","200","31",
"81","5492610000081","el producto no es como se ve en la foto","2026-08-12 23:49:30.212","200","34",
"82","5492610000082","hace cuanto salio mi envio?","2026-08-12 23:49:33.259","200","30",
"83","5492610000083","puedo retirar por sucursal?","2026-08-12 23:49:36.297","200","34",
"84","5492610000084","me llego incompleto el pedido, falta un item","2026-08-12 23:49:39.347","200","33",
"85","5492610000085","buenas, numero de orden 3345, queria el estado","2026-08-12 23:49:42.384","200","29",
"86","5492610000086","si el producto no me gusta lo puedo devolver?","2026-08-12 23:49:45.421","200","31",
"87","5492610000087","gracias, muy amables","2026-08-12 23:49:48.463","200","37",
"88","5492610000088","quiero hacer un reclamo formal","2026-08-12 23:49:51.515","200","33",
"89","5492610000089","me dijeron que llegaba hoy, se sabe algo?","2026-08-12 23:49:54.550","200","34",
"90","5492610000090","tienen atencion telefonica?","2026-08-12 23:49:57.587","200","38",
"91","5492610000091","el repartidor nunca vino y figura como entregado","2026-08-12 23:50:00.632","200","33",
"92","5492610000092","che consulta, el pedido de la silla gamer ya viene?","2026-08-12 23:50:03.677","200","31",
"93","5492610000093","cual es el horario de atencion?","2026-08-12 23:50:06.720","200","32",
"94","5492610000094","hola! gracias por la respuesta anterior, igual sigo sin saber donde esta mi pedido","2026-08-12 23:50:09.760","200","33",
"95","5492610000095","me dieron mal la informacion, quiero una solucion ya","2026-08-12 23:50:12.808","200","30",
"96","5492610000096","quiero rastrear mi compra","2026-08-12 23:50:15.844","200","32",
"97","5492610000097","emiten factura B?","2026-08-12 23:50:18.883","200","31",
"98","5492610000098","dale, gracias","2026-08-12 23:50:21.927","200","36",
"99","5492610000099","voy a hacer la denuncia en defensa del consumidor","2026-08-12 23:50:24.971","200","30",
"100","5492610000100","hola, tengo dos pedidos abiertos, me pasan el estado de ambos?","2026-08-12 23:50:28.012","200","30",
"101","5492610000101","los envios son con seguro?","2026-08-12 23:50:31.056","200","31",
"102","5492610000102","me llego todo golpeado el paquete","2026-08-12 23:50:34.100","200","30",
"103","5492610000103","compre con el mail lucia.perez@example.com, que paso con mi orden?","2026-08-12 23:50:37.140","200","29",
"104","5492610000104","cuanto demora el reintegro de una devolucion?","2026-08-12 23:50:40.184","200","30",
"105","5492610000105","hola, queria hacer una consulta","2026-08-12 23:50:43.222","200","31",
"106","5492610000106","pague en 12 cuotas y me cobraron en 1","2026-08-12 23:50:46.264","200","30",
"107","5492610000107","buen dia, el pedido ORD-7788 sigue en preparacion?","2026-08-12 23:50:49.303","200","31",
"108","5492610000108","puedo comprar sin registrarme?","2026-08-12 23:50:52.336","200","29",
"109","5492610000109","tienen stock del PROD-013? porque lo pedi y me dijeron que no habia","2026-08-12 23:50:55.375","200","31",
"110","5492610000110","el producto vino sin los accesorios que decia","2026-08-12 23:50:58.414","200","29",
"111","5492610000111","alguna novedad de mi envio?","2026-08-12 23:51:01.455","200","30",
"112","5492610000112","hacen envio gratis a partir de cierto monto?","2026-08-12 23:51:04.498","200","30",
"113","5492610000113","perfecto, saludos","2026-08-12 23:51:07.540","200","32",
"114","5492610000114","atencion pesima, llevo 40 minutos esperando respuesta","2026-08-12 23:51:10.578","200","30",
"115","5492610000115","mi pedido dice en transito hace 5 dias","2026-08-12 23:51:13.618","200","35",
"116","5492610000116","venden productos usados o todos son nuevos?","2026-08-12 23:51:16.666","200","32",
"117","5492610000117","me quieren cobrar el envio de la devolucion cuando el error fue de ustedes","2026-08-12 23:51:19.705","200","32",
"118","5492610000118","queria confirmar si ya salio el despacho","2026-08-12 23:51:22.746","200","32",
"119","5492610000119","si pago con transferencia cuando despachan?","2026-08-12 23:51:25.802","200","34",
"120","5492610000120","hola necesito ayuda","2026-08-12 23:51:28.841","200","30",
"121","5492610000121","me cancelaron el pedido sin avisarme","2026-08-12 23:51:31.877","200","29",
"122","5492610000122","hola necesito el estado del pedido urgente","2026-08-12 23:51:34.921","200","31",
"123","5492610000123","tienen reembolso si el producto llega roto?","2026-08-12 23:51:37.963","200","31",
"124","5492610000124","buenas, se puede cancelar un pedido ya pagado?","2026-08-12 23:51:41.001","200","34",
"125","5492610000125","ORD-2211","2026-08-12 23:51:44.047","200","57",
"126","5492610000126","puedo pedir que lo dejen con el portero?","2026-08-12 23:51:47.116","200","39",
"127","5492610000127","la factura vino con datos mal cargados","2026-08-12 23:51:50.171","200","37",
"128","5492610000128","me pueden ayudar?","2026-08-12 23:51:53.216","200","28",
"129","5492610000129","me llego un mail que decia confirmado, eso significa que ya lo mandaron?","2026-08-12 23:51:56.261","200","30",
"130","5492610000130","aceptan tarjeta de debito?","2026-08-12 23:51:59.307","200","30",
"131","5492610000131","exijo que me devuelvan la plata hoy mismo","2026-08-12 23:52:02.345","200","28",
"132","5492610000132","buenas, cuando estiman que llega el pedido a mendoza?","2026-08-12 23:52:05.377","200","28",
"133","5492610000133","hay stock del monitor samsung 24?","2026-08-12 23:52:08.411","200","31",
"134","5492610000134","buen finde!","2026-08-12 23:52:11.460","200","32",
"135","5492610000135","no entiendo nada de como funciona esto","2026-08-12 23:52:14.508","200","30",
"136","5492610000136","hola! el pedido que cancele ayer, se proceso la cancelacion?","2026-08-12 23:52:17.552","200","35",
"137","5492610000137","cuanto tiempo de garantia tienen las notebooks?","2026-08-12 23:52:20.590","200","30",
"138","5492610000138","sos un bot o una persona?","2026-08-12 23:52:23.632","200","29",
"139","5492610000139","hola queria saber si les llego mi transferencia","2026-08-12 23:52:26.667","200","29",
"140","5492610000140","queria saber si mi compra quedo registrada","2026-08-12 23:52:29.710","200","28",
"141","5492610000141","como se calcula el costo de envio?","2026-08-12 23:52:32.742","200","33",
"142","5492610000142","quien me esta respondiendo?","2026-08-12 23:52:35.780","200","31",
"143","5492610000143","me podrian pasar el telefono de atencion? necesito reclamar algo urgente","2026-08-12 23:52:38.819","200","28",
"144","5492610000144","tengo el codigo de seguimiento pero no figura nada en la web del correo","2026-08-12 23:52:41.856","200","29",
"145","5492610000145","puedo pagar contra entrega?","2026-08-12 23:52:44.898","200","30",
"146","5492610000146","nada, ya lo resolvi, gracias igual","2026-08-12 23:52:47.944","200","30",
"147","5492610000147","felices fiestas!","2026-08-12 23:52:50.985","200","30",
"148","5492610000148","como estan?","2026-08-12 23:52:54.025","200","29",
"149","5492610000149","hola buenas","2026-08-12 23:52:57.070","200","44",
"150","5492610000150","me llego el paquete pero adentro habia otra cosa","2026-08-12 23:53:00.125","200","28",
