"id","user_id","mensaje"
"4","5492610000004","buenas! queria saber cuando llega mi compra"
"8","5492610000008","donde esta mi pedido ORD-2024-0087?"
"12","5492610000012","me pueden dar el numero de seguimiento?"
"19","5492610000019","che, el pedido que hice el martes ya salio?"
"24","5492610000024","quiero saber el estado de mi compra por favor"
"28","5492610000028","tengo el pedido 4471, en que anda?"
"31","5492610000031","cuando me llega lo que compre ayer?"
"35","5492610000035","hola, hice una compra a nombre de Sordi, esta en camino?"
"39","5492610000039","necesito saber si ya despacharon mi paquete"
"43","5492610000043","seguimiento pedido ORD-9931"
"46","5492610000046","compre el lunes y todavia nada, esta todo bien?"
"50","5492610000050","me confirman que recibieron mi orden?"
"53","5492610000053","buenas tardes, consulta por el pedido 8823"
"57","5492610000057","donde anda mi paquete"
"60","5492610000060","quisiera saber si mi pedido ya salio de deposito"
"64","5492610000064","el envio de la notebook en que estado esta?"
"67","5492610000067","hola! me pueden decir si mi pedido esta demorado?"
"71","5492610000071","pedido ORD-5567 - estado?"
"75","5492610000075","sigo esperando el mail con el tracking"
"78","5492610000078","mi orden aparece como confirmada, cuando la mandan?"
"82","5492610000082","hace cuanto salio mi envio?"
"85","5492610000085","buenas, numero de orden 3345, queria el estado"
"89","5492610000089","me dijeron que llegaba hoy, se sabe algo?"
"92","5492610000092","che consulta, el pedido de la silla gamer ya viene?"
"94","5492610000094","hola! gracias por la respuesta anterior, igual sigo sin saber donde esta mi pedido"
"96","5492610000096","quiero rastrear mi compra"
"100","5492610000100","hola, tengo dos pedidos abiertos, me pasan el estado de ambos?"
"103","5492610000103","compre con el mail lucia.perez@example.com, que paso con mi orden?"
"107","5492610000107","buen dia, el pedido ORD-7788 sigue en preparacion?"
"111","5492610000111","alguna novedad de mi envio?"
"115","5492610000115","mi pedido dice en transito hace 5 dias"
"118","5492610000118","queria confirmar si ya salio el despacho"
"122","5492610000122","hola necesito el estado del pedido urgente"
"125","5492610000125","ORD-2211"
"140","5492610000140","queria saber si mi compra quedo registrada"
